day,dates,races,cities
Saturday,2024-10-05,Run The Crest,"Wildwood Crest, NJ"
Saturday,2024-10-05,Potomac River Run Marathon,"Washington, DC"
Saturday,2024-10-19,Rootrock Trail Run,"Chapel Hill, NC"
Saturday,2024-10-19,Those Damned Hills Half,"Lorton, VA"
Saturday,2024-10-19,Atlantic City Marathon,"Atlantic City, NJ"
Sunday,2024-10-20,Bull City Race Fest,"Durham, NC"
Sunday,2024-10-20,Charlottesville Fall Classic Half Marathon,"Charlottesville, VA"
Sunday,2024-10-20,DC Fall Classic 5K/Half,"Washington, DC"
Sunday,2024-10-20,Chessie Trail Marathon,"Lexington, VA"
Saturday,2024-10-26,Emerald Isle Marathon,"Emerald Isle, NC"
Saturday,2024-10-26,Hallowed Half Marathon,"Cape May, NJ"
Saturday,2024-10-26,Jamestown Half Marathon,"Williamsburg, VA"
Saturday,2024-10-26,"Luau 1M, 5K, 10K, 15K, and Half Marathon","Colonial Heights, VA"
Saturday,2024-10-26,Seawitch Fall Half Marathon,"Lewes, DE"
Saturday,2024-10-26,Semper Fi 5k & Half,"Washington, DC"
Saturday,2024-10-26,RDC Marathon,"Durham, NC"
Sunday,2024-10-27,5 Mile Beach Half Marathon at Wildwood Crest,"Wildwood Crest, NJ"
Saturday,2024-11-02,Cozy Toes,"Raleigh, NC"
Saturday,2024-11-02,Ocean City Running Festival,"Ocean City, MD"
Saturday,2024-11-02,"Pirate 1M, 5K, 10K, 15K, & Half Marathon","Williamsburg, VA"
Saturday,2024-11-02,"Pirate 1M, 5K, 10K, 15K, and Half Marathon","Rocky Mount, NC"
Saturday,2024-10-05,Run The Crest,"Wildwood Crest, NJ"
Saturday,2024-10-05,Schaeffer Half Marathon and 10K,"Germantown, MD"
Saturday,2024-11-02,Shenandoah River Half,"Bentonville, VA"
Saturday,2024-11-02,City of Oaks Marathon,"Raleigh, NC"
Sunday,2024-11-03,"Powhatan Pursuit 5K, 10K & Half","Powhatan, VA"
Sunday,2024-11-03,We Got Your Six Marathon,"White Plains, MD"
Sunday,2024-11-03,Battlefield Half Marathon and 5K,"Winchester, VA"
Saturday,2024-11-09,Goose Creek Trail Run & Hike,"Washington, NC"
Saturday,2024-11-09,"Ninja 1M, 5K, 10K, 15K, and Half Marathon","Westminster, MD"
Saturday,2024-11-09,Trail to Tryon,"New Bern, NC"
Saturday,2024-11-09,Cape Fear River Run,"Fayetteville, NC"
Sunday,2024-11-10,Freedom is Never Free Half,"Potomac, MD"
Sunday,2024-11-10,Outer Banks Marathon,"Nags Head, NC"
Sunday,2024-11-10,Service and Sacrifice 5K & Half,"Washington, DC"
Monday,2024-11-11,Historic Drawbridge Running Festival,"Saint Michaels, MD"
Saturday,2024-11-16,Richmond Marathon,"Richmond, VA"
Saturday,2024-11-16,Run for the Wounded Race,"Triangle, VA"
Saturday,2024-11-16,Salute to Veterans 5K/10K/Half Marathon - Metro Washington DC,"Springfield, VA"
Sunday,2024-11-17,Turkey Tumble for Autism,"Washington, DC"
Sunday,2024-11-17,DC Turkey Trot 5K & Half,"Washington, DC"
Saturday,2024-11-23,Holly Springs Half Marathon,"Holly Springs, NC"
Saturday,2024-10-05,Run The Crest,"Wildwood Crest, NJ"
Saturday,2024-10-05,"Luau 1M, 5K, 10K, 15K, and Half Marathon","Colonial Heights, VA"
Saturday,2024-11-23,Norfolk Harbor Half Marathon,"Norfolk, VA"
Saturday,2024-11-23,Norfolk Harbor Half Marathon,"Norfolk, VA"
Sunday,2024-11-24,"Pie Gobbler 1M, 5K, 10K, 15K, and Half Marathon","Williamsburg, VA"
Thursday,2024-11-28,Skinny Turkey Half Marathon,"Raleigh, NC"
Thursday,2024-11-28,NCR Marathon,"Sparks, MD"
Saturday,2024-11-30,Turkey Chase,"Cary, NC"
Saturday,2024-11-30,Ugly Sweater Dash Half,"Fairfax Station, VA"
Saturday,2024-11-30,EOD Warrior Holiday Dash,"Washington, DC"
Sunday,2024-12-01,Gar Williams Half Marathon,"Carderock, MD"
Sunday,2024-12-01,Freight Train 50K/100K,"Farmville, VA"
Saturday,2024-12-07,"Pirate 1M, 5K, 10K, 15K, & Half Marathon","Bel Air, MD"
Saturday,2024-12-07,"Pirate 1M, 5K, 10K, 15K, & Half Marathon","Williamsburg, VA"
Saturday,2024-12-07,Race 13.1 Durham,"Durham, NC"
Saturday,2024-12-07,Raleigh Holiday Half Marathon,"Raleigh, NC"
Saturday,2024-12-07,Rehoboth Beach Seashore Marathon,"Rehoboth, DE"
Saturday,2024-12-07,Run at the Rock,"Burlington, NC"
Saturday,2024-12-07,Winter Lake Anna Half,"Spotsylvania, VA"
Saturday,2024-12-07,Fredericksburg Blue and Gray Half Marathon,"Fredericksburg, VA"
Sunday,2024-12-08,"Ninja 1M, 5K, 10K, 15K, and Half Marathon","Westminster, MD"
Saturday,2024-10-05,Run The Crest,"Wildwood Crest, NJ"
Saturday,2024-10-05,Pocahontas Half,"Chesterfield, VA"
Saturday,2024-12-14,Holiday Half Marathon,"Annandale, VA"
Sunday,2024-12-15,Naptown Half Marathon,"Annapolis, MD"
Saturday,2024-12-21,Oakwood 24,"Raleigh, NC"
Saturday,2024-12-21,Rudolph's Race 5K & Half,"Washington, DC"
Saturday,2024-12-21,Santa's Sleigh 5K & Half,"Washington, DC"
Sunday,2024-12-22,"Luau 1M, 5K, 10K, 15K, and Half Marathon","Colonial Heights, VA"
Saturday,2024-12-28,"New Year Day 1M, 5K, 10K, 15K, and Half Marathon","Williamsburg, VA"
Wednesday,2025-01-01,Chills In The Mill - Harwoods Half & 5K,"Yorktown, VA"
Saturday,2025-01-18,Whiskey Tango Foxtrot Half Marathon & 5 Mile,"Gibsonville, NC"
Saturday,2025-01-18,"Luau 1M, 5K, 10K, 15K, and Half Marathon","Colonial Heights, VA"
Saturday,2025-01-25,Sledgehammer Half Marathon,"North Topsail Beach, NC"
Saturday,2025-01-25,ICY-8 Hour Adventure Trail Run,"Spotsylvania, VA"
Saturday,2025-02-01,Little Patuxent River Half Marathon,"Columbia, MD"
Sunday,2025-02-02,Dahlgren Trail Half Marathon,"King George, VA"
Saturday,2025-02-15,"Luau 1M, 5K, 10K, 15K, and Half Marathon","Colonial Heights, VA"
Saturday,2025-02-22,One City Marathon,"Newport News, VA"
Sunday,2025-03-02,River City Half and River City 5K,"Richmond, VA"
Saturday,2025-03-08,Coast Guard Marathon,"Elizabeth City, NC"
Sunday,2025-03-09,Rock ‘n' Roll Washinton DC,"Washington, DC"
Saturday,2024-10-05,Run The Crest,"Wildwood Crest, NJ"
Saturday,2024-10-05,Shamrock Marathon,"Virginia Beach, VA"
Sunday,2025-03-16,Tobacco Road Marathon,"Cary, NC"
Sunday,2025-03-16,First State Half Marathon,"Newark, DE"
Saturday,2025-03-22,"Luau 1M, 5K, 10K, 15K, and Half Marathon","Colonial Heights, VA"
Saturday,2025-03-22,Cary Greenways Half Marathon,"Cary, NC"
Sunday,2025-03-23,Virginia Marathon,"Middleburg, VA"
Sunday,2025-03-23,Charlottesville Marathon,"Charlottesville, VA"
Saturday,2025-04-05,Petersburg Half Marathon,"Petersburg, VA"
Saturday,2025-04-05,SBY Marathon,"Salisbury, MD"
Saturday,2025-04-05,April Fools Half Marathon,"Atlantic City, NJ"
Sunday,2025-04-06,Bridge 2 Bridge Danville,"Danville, VA"
Saturday,2025-04-12,Coastal Delaware Running Festival,"Dewey Beach, DE"
Sunday,2025-04-13,Flying Pirate Half Marathon,"Kill Devil Hills, NC"
Sunday,2025-04-13,"Luau 1M, 5K, 10K, 15K, and Half Marathon","Colonial Heights, VA"
Saturday,2025-04-26,Park to Park Half Marathon,"Waynesboro, VA"
Saturday,2025-04-26,"Spring Third Winchester Battlefield 5K, 10K, & Half","Winchester, VA"
Saturday,2025-04-26,Wake Forest Historic Half,"Wake Forest, NC"
Saturday,2025-04-26,Blackbeard's Half Marathon,"Ocracoke, NC"
Sunday,2025-04-27,Runners Half Marathon of Reston,"Reston, VA"
Sunday,2025-04-27,Neuse River Bridge Run,"New Bern, NC"
